lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.07877238839864731,787.8493041992188,0.07877238839864731,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.0010157438227906823,2.1525391275645234e-05,0.0009942183969542384,0.012345679104328156,0.4355740249156952,0.07877238839864731,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5942248106002808,5942.298828125,0.5942248106002808,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.0004083171661477536,2.1476702386280522e-05,0.00038684046012349427,0.012345679104328156
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.06661321967840195,666.4910278320312,0.06661321967840195,-1.0,nan,nan,nan,0.0,0.02469135820865631,0.0014533670619130135,3.2470390578964725e-05,0.0014208966167643666,0.02469135820865631,0.17730146646499634,0.06661321967840195,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.07795596867799759,779.8910522460938,0.07795596867799759,-0.8881401419639587,nan,nan,nan,0.0,0.02469135820865631,0.0013418359449133277,2.2718550098943524e-05,0.0013191173784434795,0.02469135820865631
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.06419973075389862,642.5223999023438,0.06419973075389862,-1.0,nan,nan,nan,0.0,0.03703703731298447,0.0014179116114974022,3.9349113649223e-05,0.001378562650643289,0.03703703731298447,0.0981302559375763,0.06419973075389862,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.08340917527675629,834.5149536132812,0.08340917527675629,-1.0,nan,nan,nan,0.0,0.03703703731298447,0.0011426798300817609,3.675780681078322e-05,0.0011059219250455499,0.03703703731298447
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.0703592598438263,704.2632446289062,0.0703592598438263,-1.0,nan,nan,nan,0.0,0.04938271641731262,0.0013579828664660454,4.777101639774628e-05,0.0013102119555696845,0.04938271641731262,0.0786905586719513,0.0703592598438263,3.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.07642999291419983,764.8436889648438,0.07642999291419983,-0.3038952052593231,nan,nan,nan,0.0,0.04938271641731262,0.0011010917369276285,4.3766562157543376e-05,0.0010573251638561487,0.04938271641731262
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.05995677784085274,600.3593139648438,0.05995677784085274,-0.5633830428123474,nan,nan,nan,0.0,0.061728399246931076,0.001282232697121799,4.491502477321774e-05,0.0012373176869004965,0.061728399246931076,0.06557691097259521,0.05995677784085274,4.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.08579114824533463,858.6524658203125,0.08579114824533463,-1.0,nan,nan,nan,0.0,0.061728399246931076,0.0012004117015749216,5.0603110139491037e-05,0.0011498085223138332,0.061728399246931076
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.07619944959878922,762.9168090820312,0.07619944959878922,-1.0,nan,nan,nan,0.0,0.07407407462596893,0.001245184917934239,4.7372446715598926e-05,0.0011978124966844916,0.07407407462596893,0.07301268726587296,0.07619944959878922,5.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,5,,,,,,,,,,,,,
