lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.46674931049346924,4667.591796875,0.46674931049346924,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.000798043969552964,2.1897993065067567e-05,0.000776145898271352,0.012345679104328156,0.6931066513061523,0.46674931049346924,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.728007972240448,7280.1396484375,0.728007972240448,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.00048722082283347845,2.1507292331079952e-05,0.00046571355778723955,0.012345679104328156
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.378348708152771,3783.571533203125,0.378348708152771,-0.4350198209285736,nan,nan,nan,0.0,0.02469135820865631,0.00034164925455115736,2.2123173039290123e-05,0.00031952609424479306,0.02469135820865631,0.4727761149406433,0.378348708152771,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.45705175399780273,4570.650390625,0.45705175399780273,-0.8093817830085754,nan,nan,nan,0.0,0.02469135820865631,0.0005380097427405417,2.3843693270464428e-05,0.0005141660221852362,0.02469135820865631
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.3943575322628021,3943.763916015625,0.3943575322628021,-0.6538222432136536,nan,nan,nan,0.0,0.03703703731298447,0.0005099524278193712,2.8681241019512527e-05,0.0004812711849808693,0.03703703731298447,0.41788309812545776,0.3943575322628021,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.39023324847221375,3902.487060546875,0.39023324847221375,-0.6234459280967712,nan,nan,nan,0.0,0.03703703731298447,0.00041788717499002814,2.4411474441876635e-05,0.00039347572601400316,0.03703703731298447
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.3857828676700592,3858.0419921875,0.3857828676700592,-0.5366272926330566,nan,nan,nan,0.0,0.04938271641731262,0.0004324031760916114,4.0865212213248014e-05,0.0003915379347745329,0.04938271641731262,0.3954129219055176,0.3857828676700592,3.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4212259352207184,4212.4990234375,0.4212259352207184,-0.9517230987548828,nan,nan,nan,0.0,0.04938271641731262,0.00048487301683053374,3.731047399924137e-05,0.00044756257557310164,0.04938271641731262
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.3963909447193146,3964.137939453125,0.3963909447193146,-0.6816146969795227,nan,nan,nan,0.0,0.061728399246931076,0.00037018550210632384,5.368398342397995e-05,0.0003165015368722379,0.061728399246931076,0.3960975408554077,0.3963909447193146,4.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.36818647384643555,3682.12158203125,0.36818647384643555,-0.34442177414894104,nan,nan,nan,0.0,0.061728399246931076,0.00041624504956416786,4.668186011258513e-05,0.0003695632331073284,0.061728399246931076
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.4048720598220825,4049.034912109375,0.4048720598220825,-0.7975311279296875,nan,nan,nan,0.0,0.07407407462596893,0.00042439912795089185,5.6249129556817934e-05,0.0003681500384118408,0.07407407462596893,0.40223968029022217,0.4048720598220825,5.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.3803410530090332,3803.7041015625,0.3803410530090332,-0.4569757282733917,nan,nan,nan,0.0,0.07407407462596893,0.0003964899806305766,6.0838272474939004e-05,0.00033565177000127733,0.07407407462596893
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.36861249804496765,3686.601806640625,0.36861249804496765,-0.30194881558418274,nan,nan,nan,0.0,0.08641975373029709,0.0005518078105524182,4.764522600453347e-05,0.0005041625699959695,0.08641975373029709,0.3787006437778473,0.36861249804496765,6.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3829902112483978,3830.2861328125,0.3829902112483978,-0.5384239554405212,nan,nan,nan,0.0,0.08641975373029709,0.0004448228282853961,5.944947770331055e-05,0.0003853733651340008,0.08641975373029709
0.004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0.3573281466960907,3573.945068359375,0.3573281466960907,-0.14771854877471924,nan,nan,nan,0.0,0.09876543283462524,0.0006719317170791328,4.205732329864986e-05,0.000629874411970377,0.09876543283462524,0.36373990774154663,0.3573281466960907,7.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.3615649938583374,3616.25439453125,0.3615649938583374,-0.23538269102573395,nan,nan,nan,0.0,0.09876543283462524,0.000611731898970902,4.934633398079313e-05,0.0005623855395242572,0.09876543283462524
0.004,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.3688286244869232,3688.968505859375,0.3688286244869232,-0.30490270256996155,nan,nan,nan,0.0,0.1111111119389534,0.0006138745811767876,3.62760983989574e-05,0.0005775984609499574,0.1111111119389534,0.3673020005226135,0.3688286244869232,8.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.36923667788505554,3692.994384765625,0.36923667788505554,-0.354552686214447,nan,nan,nan,0.0,0.1111111119389534,0.0005652312538586557,4.538766370387748e-05,0.0005198435392230749,0.1111111119389534
0.004,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.3940129280090332,3940.865966796875,0.3940129280090332,-0.6491124629974365,nan,nan,nan,0.0,0.12345679849386215,0.0005967543693259358,3.4759301343001425e-05,0.0005619950825348496,0.12345679849386215,0.3859996497631073,0.3940129280090332,9.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.3577024042606354,3577.69873046875,0.3577024042606354,-0.18221576511859894,nan,nan,nan,0.0,0.12345679849386215,0.0005462889093905687,3.9289338019443676e-05,0.0005069996113888919,0.12345679849386215
0.004,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
